source_id,title,year,authors,doi,methods
annettpierotti1999,Long-term reproductive output in Western Gulls: Consequences of alternate tactics in diet choice,1999,"Annett, CA and Pierotti, R",10.2307/176997,"cross-generation, longitudinal collection of diet data, banding eggs to track diet correlation with parents"
price1998,Family- and sex-specific vocal traditions in a cooperatively breeding songbird,1998,"Price, JJ",10.1098/rspb.1998.0322,traced transmission from informed to naive individuals between generations
payne1996,"Song traditions in indigo buntings: Origin, improvisation, dispersal, and extinction in cultural evolution",1996,"Payne, Robert B.",10.7591/9781501736957-018,"traced transmission from informed to naive individuals between generations, tracking spread of natural innovation"
ologhlen1995,CULTURALLY CORRECT SONG DIALECTS ARE CORRELATED WITH MALE AGE AND FEMALE SONG PREFERENCES IN WILD POPULATIONS OF BROWN-HEADED COWBIRDS,1995,"O'Loghlen, AL and Rothstein, SI",10.1007/BF00165834,traced transmission from informed to naive individuals between generations
terkel1995,CULTURAL TRANSMISSION IN THE BLACK RAT - PINE-CONE FEEDING,1995,"Terkel, Joseph",10.1016/S0065-3454(08)60393-9,"variation between neighbouring populations, traced transmission from informed to naive individuals between generations"
baker1987,"FOUNDER EFFECT AND CULTURAL-EVOLUTION OF SONGS IN AN ISOLATED POPULATION OF CHAFFINCHES, FRINGILLA-COELEBS, IN THE CHATHAM ISLANDS",1987,"Baker, Allan J. and Jenkins, Peter F.",10.1016/S0003-3472(87)80072-6,identified geographic variation in song syllables between origin and colonist populations
holzhaider2011,The social structure of New Caledonian crows,2011,"Holzhaider, Jenny. C., Sibley, M. D., Taylor, A. H., Singh, P. J., Gray, Russell. D., & Hunt, Gavin. R",10.1016/j.anbehav.2010.09.015,traced transmission from informed to naive individuals between generations
bluff2010,Vocal culture in New Caledonian crows Corvus moneduloides.,2010,"Bluff, L. A., Kacelnik, A., & Rutz, C.",10.1111/j.1095-8312.2010.01527.x,"geographic variation, learning in captive individual"
rutzstclair2012,The evolutionary origins and ecological context of tool use in New Caledonian crows,2012,"Rutz, C., & St Clair, J. J. H.",10.1016/j.beproc.2011.11.005,NA
huntgray2003,Diversification and cumulative evolution in New Caledonian crow tool manufacture,2003,"Hunt, Gavin R. and Gray, Russell D.",10.1098/rspb.2002.2302,geographic variation
singletonvanschaik2001,The Social Organisation of a Population of Sumatran Orang-Utans,2001,"Singleton, Ian and van Schaik, Carel P.",10.1159/000060415,NA
whitehead2024,Sperm whale clans and human societies,2024,"Whitehead, Hal",10.1098/rsos.231353,NA
schupplivanschaik2019,Animal cultures: how we've only seen the tip of the iceberg,2019,"Schuppli, Caroline and Van Schaik, Carel",10.1017/ehs.2019.1,traced transmission from informed to naive individuals between generations
vanschaikknott2001,Geographic variation in tool use on Neesia fruits in orangutans,2001,"Van Schaik, Carel and Knott, Cheryl D.",10.1002/ajpa.1045,geographic variation; reject genetic and ecological explanations for differences in tool use
recalde2024,A densely sampled and richly annotated acoustic data set from a wild bird population,2024,"Recalde, Nilo Merino and Estandia, Andrea and Pichot, Loanne and Vansse, Antoine and Cole, Ella F. and Sheldon, Ben C.",10.1016/j.anbehav.2024.02.008,NA
cornell2012,Social learning spreads knowledge about dangerous humans among American crows,2012,"Cornell, Heather N. and Marzluff, John M. and Pecoraro, Shannon",10.1098/rspb.2011.0957,tracking spread of experimentally seeded behavior
yoktan2011,Vocal dialect and genetic subdivisions along a geographic gradient in the orange-tufted sunbird,2011,"Yoktan, Kinneret and Geffen, Eli and Ilany, Amiyaal and Yom-Tov, Yoram and Naor, Adit and Leader, Noam",10.1007/s00265-011-1149-7,"geographic variation, network analysis, genetic analysis"
berger2014,The effect of intruders on territorial Palestine Sunbirds (Nectarinia osea) during the pre-egg laying period,2014,"Berger, I., Leshem, Y., Yom-Tov, Y., & Markman, S.",10.1007/s10336-013-1017-5,NA
burnhamduffus2020,Maternal behaviors of gray whales (Eschrichtius robustus) on a summer foraging site,2020,"Rianna E. Burnham, David A. Duffus",10.1111/mms.12710,"cross-generation, mark-recapture to measure fidelity to foraging sites, network-based (cow-calf pairs)"
luncz2012,Evidence for Cultural Differences between Neighboring Chimpanzee Communities,2012,"Luncz, Lydia V. and Mundry, Roger and Boesch, Christophe",10.1016/j.cub.2012.03.031,variation between neighbouring populations
lunczboesch2014,Tradition over trend: Neighboring chimpanzee communities maintain differences in cultural behavior despite frequent immigration of adult females,2014,"Luncz, Lydia V. and Boesch, Christophe",10.1002/ajp.22259,variation between neighbouring populations
boesch2019,Learning curves and teaching when acquiring nut-cracking in humans and chimpanzees,2019,"Boesch, C., Bombjaková, D., Meier, A., & Mundry, R.",10.1038/s41598-018-38392-8,traced transmission from informed to naive individuals between generations (earlier study started in 1980s)
allen2013,Network-Based Diffusion Analysis Reveals Cultural Transmission of Lobtail Feeding in Humpback Whales,2013,"Allen, Jenny and Weinrich, Mason and Hoppitt, Will and Rendell, Luke",10.1126/science.1231976,"longitudinal dataset, network-based diffusion analysis"
ohashimatsuzawa2011,Deactivation of snares by wild chimpanzees,2011,"Ohashi, Gaku and Matsuzawa, Tetsuro",10.1007/s10329-010-0212-8,"tracking spread of natural innovation, observation"
sugiyama2004,"Demographic parameters and life history of chimpanzees at Bossou, Guinea",2004,"Sugiyama, Yukimaru",10.1002/ajpa.10345,NA
moebius2008,Cultural differences in army ant predation by West African chimpanzees?: A comparative study of microecological variables,2008,"Moebius, Yasmin and Boesch, Christophe and Koops, Kathelijne and Matsuzawa, Tetsuro and Humle, Tatyana",10.1016/j.anbehav.2008.01.008,geographic variation not attributable to ecological differences
humle2009,"Social influences on ant-dipping acquisition in the wild chimpanzees (Pan troglodytes verus) of Bossou, Guinea, West Africa",2009,"Humle, Tatyana, Charles T. Snowdon, and Tetsuro Matsuzawa",10.1007/s10071-009-0272-6,traced transmission from informed to naive individuals between generations
pascualgarrido2019,"Cultural variation between neighbouring communities of chimpanzees at Gombe, Tanzania",2019,"Pascual-Garrido, Alejandra",10.1038/s41598-019-44703-4,variation between neighbouring populations
lonsdorf2005,"Sex differences in the development of termite-fishing skills in the wild chimpanzees, Pan troglodytes schweinfurthii, of Gombe National Park, Tanzania",2005,"Lonsdorf, Elizabeth",10.1016/j.anbehav.2004.12.014,traced transmission from informed to naive individuals between generations
fornuskova2014,Strong matrilineal structure in common pipistrelle bats (<i>Pipistrellus pipistrellus</i>) is associated with variability in echolocation calls,2014,"Fornuskova, Alena and Petit, Eric J. and Bartonicka, Tomas and Kanuch, Peter and Butet, Alain and Rehak, Zdenek and Bryja, Josef",10.1111/bij.12381,"geographic variation, genetic analysis "
sztencelbogdanowicz2012,Population genetics study of common ( <i>Pipistrellus pipistrellus</i> ) and soprano ( <i>Pipistrellus pygmaeus</i> ) pipistrelle bats from central Europe suggests interspecific hybridization,2012,"Sztencel-Jabłonka, Anna, and Wiesław Bogdanowicz",10.1139/z2012-092,NA
santorelli2011,Universal Behaviors as Candidate Traditions in Wild Spider Monkeys,2011,"Santorelli, Claire J. and Schaffner, Colleen M. and Aureli, Filippo",10.1371/journal.pone.0024400,geographic variation
hohmannfruth2003,Culture in Bonobos? Between-species and within-species variation in behavior,2003,"Hohmann, G and Fruth, B",10.1086/377649,geographic variation
moore2005,Reproductive asynchrony and population divergence between two tropical bird populations,2005,"Moore, IT and Bonier, F and Wingfield, JC",10.1093/beheco/ari049,NA
danner2011,"Female, but Not Male, Tropical Sparrows Respond More Strongly to the Local Song Dialect: Implications for Population Divergence",2011,"Danner, Julie E., Raymond M. Danner, Frances Bonier, Paul R. Martin, Thomas W. Small, and Ignacio T. Moore.",10.1086/660283.,NA
danner2017,Genetic population structure in an equatorial sparrow: roles for culture and geography,2017,"Danner, J. E. and Fleischer, R. C. and Danner, R. M. and Moore, I. T.",10.1111/jeb.13065,NA
fearnbach2014,"Spatial and social connectivity of fish-eating ""Resident"" killer whales (<i>Orcinus orca</i>) in the northern North Pacific",2014,"Fearnbach, Holly and Durban, John W. and Ellifrit, David K. and Waite, Janice M. and Matkin, Craig O. and Lunsford, Chris R. and Peterson, Megan J. and Barlow, Jay and Wade, Paul R.",10.1007/s00227-013-2351-0,social network analysis
morganabwe2006,Chimpanzees use stone hammers in Cameroon,2006,"Morgan, Bethan J. and Abwe, Ekwoge E.",10.1016/j.cub.2006.07.045,new observation of behavior in population
