group_id,group_name,species_id,group_level,group_above,size,size_evidence,size_date,size_source,location_evidence,location_source,lat,long
700031,Hluhluwe Park dialect forest weavers,Ploceus_bicolor_stictifrons,not searched,not searched,not searched,not searched,not searched,not searched,Hluhluwe Imfolozi Game Reserve,seibt2002,-28.062,32.141
700032,Hluhluwe River dialect forest weavers,Ploceus_bicolor_stictifrons,not searched,not searched,not searched,not searched,not searched,not searched,"""We recorded this song type at Maphumulo (S 28±070; E 32±060) as well as at Siwasamakhosikazi (S 28±080; E 31±590).""",seibt2002,-28.117,32.1
700033,Howard dialect caciques,Cacicus_cela_vitellinus,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"Vera Cruz, Panama",trainer1989,8.888,-79.642
700034,Israeli cypress population,Rattus_rattus,not searched,not searched,not searched,not searched,not searched,not searched,"Kibbutz Ramot Menashe, Israel",terkel1995,32.598,35.059
700035,Israeli pine cone population,Rattus_rattus,not searched,not searched,not searched,not searched,not searched,not searched,"Kibbutz Ramot Menashe, Israel",terkel1995,32.598,35.059
700036,Istállós-kői-cave foraging tits,Parus_major,not searched,not searched,not searched,not searched,not searched,not searched,"Istállós-kői-cave, Bükk Mountains, Hungary",estok2010,48.072,20.417
700037,Jurubeba group,Sapajus_libidinosus,not searched,not searched,52,,2005,mannu2009,Serra da Capivara National Park,mannu2009,-8.717,-42.602
700038,K19 acoustic clan,Orcinus_orca,2,Avacha Gulf resident killer whales,not searched,not searched,not searched,not searched,"Avacha Gulf, Kamchatka, Sea of Okhotsk",filatova2007,61.434,166.788
700039,K20 acoustic clan,Orcinus_orca,2,Avacha Gulf resident killer whales,not searched,not searched,not searched,not searched,"Avacha Gulf, Kamchatka, Sea of Okhotsk",filatova2007,61.434,166.788
700040,Karisoke gorilla groups,Gorilla_beringei_beringei,1,not searched,not searched,not searched,not searched,not searched,"Karisoke Research Center, Volcanos National Park, Rwanda",robbins2016,-1.833,29.5
700041,Kasekela chimpanzees,Pan_troglodytes_schweinfurthii,not searched,Gombe chimpanzees,55,"""The Kasekela community (n=55 in December 2017) resides in the centre of the Park and has been studied since 1960, with the majority of the individuals well habituated since 1966.""",2017,pascualgarrido2019,"Gombe National Park, Tanzania",pascualgarrido2019,-4.698,29.645
700042,Lake Merced dialect white-crowned sparrows,Zonotrichia_leucophrys_nuttalli,not searched,not searched,not searched,not searched,not searched,not searched,"Lake Merced, San Francisco",luther2010,37.721,-122.496
700043,Lee Martinez Park (LMP) black-capped chickadees,Poecile_atricapillus,not searched,not searched,not searched,not searched,not searched,not searched,"Lee Martinez Park (LMP) Fort Collins, Colorado",baker2000,40.596,-105.082
700044,Lee Vining dialect brown-headed cowbirds,Molothrus_ater,not searched,not searched,not searched,not searched,not searched,not searched,"Lee Vining, eastern Sierra Nevada, California",ologhlen1995,37.958,-119.12
700045,Lomako bonobos,Pan_paniscus,not searched,not searched,20,"""Over the years, the size of the community ranged from 15 to 24 mature individuals, with the number of adult females always exceeding the number of adult males (Hohmann and Fruth 2002)."" (Hohmann & Fruth 2003)",1995,hohmannfruth2003,"Lomako field site, Salonga National Park",hohmannfruth2003,0.85,21.08
700046,Lomas Barbudal capuchins,Cebus_capucinus,not searched,not searched,29,20-37,see source,panger2002,"Lomas de Barbudal Biological Reserve [10° 30 N, 85° 22 W]",panger2002,10.433,-85.4
700047,Madrid great bustards,Otis_tarda,not searched,not searched,not searched,not searched,not searched,not searched,Madrid province,palacin2011,40.417,-3.581
700048,Mare Island New Caledonian crows,Corvus_moneduloides,not searched,New Caledonian crows,not searched,not searched,not searched,not searched,"Mare, New Caledonia, about 5 km inland from Wabao village",holzhaider2010,-21.599,167.935
700049,Mediterranean fin whale subpopulation,Balaenoptera_physalus,not searched,not searched,not searched,not searched,not searched,not searched,northwest Mediterranean basin,castellote2011,43.742,8.206
700050,Middle group Taï chimpanzees,Pan_troglodytes_verus,not searched,Taï chimpanzees,not searched,not searched,not searched,not searched,Taï National Park in Côte d'Ivoire,,5.69,-6.939
700051,Mongolian gerbil Family 1,Meriones_unguiculatus,0,not searched,not searched,not searched,not searched,not searched,NA (lab),peterson2023,NA,NA
700052,Moreton Bay non-trawler dolphins,Tursiops_aduncus,not searched,not searched,not searched,trawler dolphin community had larger schools than non-trawlers,,,"eastern Moreton Bay, Queensland, Australia",chilverscorkeron2001,-27.095,152.921
700053,Moreton Bay trawler dolphins,Tursiops_aduncus,not searched,not searched,not searched,trawler dolphin community had larger schools than non-trawlers,,,"eastern Moreton Bay, Queensland, Australia",chilverscorkeron2001,-27.095,152.921
700054,Moukalaba Gentil gorilla group,Gorilla_gorilla_gorilla,0,,21,ranged from 19 to 23 during study period 2007 to 2015,2011,robbins2016,"Moukalaba-Doudou National Park, Gabon",robbins2016,-2.05,10.95
700055,Mulberry/Lemay (ML) black-capped chickadees,Poecile_atricapillus,not searched,not searched,not searched,not searched,not searched,not searched,"Mulberry and Lemay Crossing, Fort Collins, Colorado",baker2000,40.581,-105.057
700056,New Caledonian crows,Corvus_moneduloides,not searched,not searched,not searched,not searched,not searched,not searched,New Caledonia,not searched,-20.904,165.618
700057,North group Taï chimpanzees,Pan_troglodytes_verus,not searched,Taï chimpanzees,not searched,not searched,not searched,not searched,Taï National Park in Côte d'Ivoire,,5.69,-6.939
700058,North Pacific humpback whale metapopulation,Megaptera_novaeangliae,not searched,not searched,not searched,not searched,not searched,not searched,North Pacific ocean,darling2019,-8.783,-124.509
700059,Northeastern North Atlantic fin whale subpopulation,Balaenoptera_physalus,not searched,not searched,not searched,not searched,not searched,not searched,Alboran basin,castellote2011,36.062,-3.8
700060,Northern Resident killer whales,Orcinus_orca,3,R-type killer whales,not searched,not searched,not searched,not searched,Johnstone Strait,riesch2006,50.462,-126.044
700061,Northern theme Savannah sparrows,Passerculus_sandwichensis,not searched,not searched,not searched,not searched,not searched,not searched,"Belgrave, western Ontario",sunghandford2006,43.815,-81.369
700062,Northern vulture population,Gyps_fulvus,not searched,not searched,not searched,not searched,not searched,not searched,northern Spain,arrondo2023,40.464,-3.749
700063,nSMO sabrewings,Pampa_curvipennis,not searched,not searched,not searched,not searched,not searched,not searched,"El Cielo, Tamaulipas",gonzalez2014,23.276,-99.276
700064,Oitenta group,Sapajus_libidinosus,not searched,not searched,12,,2005,mannu2009,Serra da Capivara National Park,mannu2009,-8.717,-42.602
700065,Okinawa horseshoe bats North colonies,Rhinolophus_pumilus,not searched,not searched,not searched,not searched,not searched,not searched,Okinawa Island,yoshino2008,26.745,128.237
700066,Okinawa horseshoe bats South colonies,Rhinolophus_pumilus,not searched,not searched,not searched,not searched,not searched,not searched,"Motobu peninsula, Okinawa, Japan",yoshino2008,26.658,127.898
700067,Ooty shortwings,Myiomela_major,not searched,not searched,not searched,not searched,not searched,not searched,"Ooty sky island, Western Ghat mountains",robin2011,11.41,76.695
700068,Pacific Coast Feeding Aggregation,Eschrichtius_robustus,not searched,eastern gray whale population,not searched,not searched,not searched,not searched,Clayoquot Sound,burnhamduffus2020,49.2,-126.1
700069,Palo Verde capuchins,Cebus_capucinus,not searched,not searched,19,about 19 individuals,,panger2002,Palo Verde National Park ,panger2002,10.333,-85.333
